,comp_@FoxNews,comp_@NYTimes,comp_@bbc,comp_@cbs,comp_@cnn,pos_@bbc,neg_@bbc,neu_@bbc,pos_@cnn,neg_@cnn,neu_@cnn,pos_@NYTimes,neg_@NYTimes,neu_@NYTimes,pos_@FoxNews,neg_@FoxNews,neu_@FoxNews,pos_@cbs,neg_@cbs,neu_@cbs
0,0.0,0.0,-0.5994,0.6597,0.0,0.0,0.17,0.83,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.221,0.0,0.779
1,0.3612,0.0,-0.0772,0.0,-0.5574,0.0,0.064,0.936,0.0,0.146,0.854,0.0,0.0,1.0,0.128,0.0,0.872,0.0,0.0,1.0
2,-0.4019,-0.1027,0.7184,0.0,0.0,0.273,0.0,0.727,0.0,0.0,1.0,0.223,0.235,0.542,0.0,0.213,0.787,0.0,0.0,1.0
3,0.0,-0.2732,0.0,0.2732,-0.4588,0.0,0.0,1.0,0.077,0.218,0.704,0.208,0.174,0.618,0.0,0.0,1.0,0.129,0.086,0.784
4,0.3182,0.0,0.0,0.6239,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.212,0.122,0.667,0.214,0.0,0.786
5,0.0,0.5106,0.0,0.6467,-0.4215,0.0,0.0,1.0,0.094,0.209,0.697,0.125,0.0,0.875,0.0,0.0,1.0,0.28,0.0,0.72
6,0.0,0.0,0.6239,0.7096,0.0,0.506,0.0,0.494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.258,0.0,0.742
7,-0.802,0.0258,0.4003,0.5562,0.0,0.144,0.0,0.856,0.0,0.0,1.0,0.117,0.114,0.769,0.0,0.474,0.526,0.146,0.0,0.854
8,0.0,0.0258,0.5411,0.4199,0.0,0.189,0.0,0.811,0.0,0.0,1.0,0.061,0.0,0.939,0.0,0.0,1.0,0.108,0.0,0.892
9,0.5859,0.0,0.5267,0.6696,-0.5267,0.207,0.0,0.793,0.0,0.206,0.794,0.0,0.0,1.0,0.202,0.0,0.798,0.183,0.0,0.817
10,0.4215,-0.3818,0.5267,0.0,0.0,0.145,0.0,0.855,0.0,0.0,1.0,0.07,0.184,0.746,0.123,0.0,0.877,0.0,0.0,1.0
11,-0.6369,0.0,0.4404,0.3612,0.4939,0.293,0.0,0.707,0.132,0.0,0.868,0.0,0.0,1.0,0.0,0.208,0.792,0.106,0.0,0.894
12,-0.5106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.123,0.325,0.552,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,-0.4019,0.0,0.0,1.0,0.096,0.174,0.731,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,0.0,-0.5574,0.34,0.0,0.0,0.112,0.0,0.888,0.0,0.0,1.0,0.0,0.184,0.816,0.0,0.0,1.0,0.0,0.0,1.0
15,0.0,0.3612,0.6705,0.0,-0.4767,0.208,0.0,0.792,0.0,0.154,0.846,0.111,0.0,0.889,0.0,0.0,1.0,0.0,0.0,1.0
16,0.5574,0.0,0.0,0.5859,-0.6124,0.0,0.0,1.0,0.0,0.217,0.783,0.0,0.0,1.0,0.231,0.0,0.769,0.194,0.0,0.806
17,-0.836,-0.296,0.0,0.6597,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.104,0.896,0.0,0.418,0.582,0.241,0.0,0.759
18,-0.4939,-0.6486,-0.2023,-0.3875,0.0,0.068,0.098,0.833,0.228,0.192,0.58,0.0,0.202,0.798,0.0,0.286,0.714,0.074,0.157,0.769
19,0.0,0.8126,0.6757,0.807,0.0,0.268,0.083,0.649,0.0,0.0,1.0,0.28,0.0,0.72,0.0,0.0,1.0,0.313,0.0,0.687
20,0.0,0.8126,0.6757,0.807,0.0,0.268,0.083,0.649,0.0,0.0,1.0,0.28,0.0,0.72,0.0,0.0,1.0,0.313,0.0,0.687
